member_name,session_id,model,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,cost_usd,project_name,recorded_at
hletrd,40a37f85-8f12-4e23-93bf-70a085ba7898,claude-haiku-4-5-20251001,344,16169,611302,3269188,1.1722353,-Users-hletrd-git-online-judge,2026-03-12 10:29:56.131+00
cyjun0304,e909af07-1234-42da-912a-03efd201879c,claude-opus-4-6,689,103502,759965,45189093,29.93532275,-home-cyjun0304-sketchdrive,2026-03-12 10:24:52.677+00
ben_baldivia,4cd1ba3e-6d64-44b3-b35f-653be6357068,claude-opus-4-6,6,114,6560,28626,0.058193,-Users-benbaldivia-dev-2-kiloforge-wt-worker-1-backend-internal-adapter-agent,2026-03-12 10:10:48.906+00
ben_baldivia,8508e13d-60f3-43d7-80f3-a45c59ad54ce,claude-opus-4-6,6,116,17886,17300,0.1233675,-Users-benbaldivia-dev-2-kiloforge-wt-worker-1-backend-internal-adapter-agent,2026-03-12 10:08:08.351+00
inkeun,774d6ed7-99f5-4bed-b96f-d12e0d51c73d,gpt-5.4,15568,251,0,15104,0.0550002,workspace,2026-03-12 10:07:45.317+00
Da-hye Kim,fd6a219a-f22e-42ad-be77-ac45f0651ad9,claude-opus-4-6,170359,694892,11722300,367191916,275.084428,projects,2026-03-12 10:01:19.105+00
Da-hye Kim,3cba8845-d26f-4b98-90d9-6e93735d095b,claude-opus-4-6,877,197670,1748601,55126276,43.43802925,projects,2026-03-12 09:56:50.581+00
inkeun,71ab0ae3-a7a2-49fe-bc2a-b8a462f360d8,gpt-5.4,15285,379,0,30336,0.0606408,workspace,2026-03-12 09:51:39.253+00
ben_baldivia,3f326eb4-8cfb-42ac-a7fc-3e3369ed6742,claude-opus-4-6,13,778,22311,84079,0.20099825,projects,2026-03-12 09:49:35.894+00
inkeun,1f5b39b9-eb06-4996-9031-e80d7871a1cd,gpt-5.4,15252,372,0,0,0.051336,workspace,2026-03-12 09:49:25.161+00
ben_baldivia,e5041640-b426-44fe-b171-988b30a2eae4,claude-opus-4-6,6,59,39632,17300,0.257855,-Users-benbaldivia-dev-2-kiloforge-wt-main-backend-internal-adapter-rest,2026-03-12 09:46:56.445+00
hletrd,89c1ae1e-7dab-467f-83d0-9c247c7891fc,claude-opus-4-6,287,16310,468367,4977369,5.82516325,-Users-hletrd-git-nas-ops,2026-03-12 09:44:34.818+00
ben_baldivia,02e03fc4-5a77-4e6d-9091-6245f29bf593,claude-opus-4-6,383,57073,629337,28781525,19.75285875,projects,2026-03-12 09:43:55.648+00
ben_baldivia,5c3e6224-2f4a-46a5-9cfc-ef079af9cb45,claude-opus-4-6,8678,33818,358813,21112924,13.68788325,projects,2026-03-12 09:41:46.814+00
inkeun,523e034c-fafa-4611-8775-ce769efade1d,gpt-5.4,15636,185,0,14976,0.0541758,workspace,2026-03-12 09:37:45.013+00
ben_baldivia,608091b5-2d83-4b51-ac9b-2c8aeca34392,claude-opus-4-6,35,1525,55213,226547,0.49665475,projects,2026-03-12 09:29:05.797+00
ben_baldivia,81e0822e-d64d-454f-b3ad-eb0c6ea0b497,claude-opus-4-6,6,67,17802,17300,0.1216175,-Users-benbaldivia-dev-2-kiloforge-wt-main,2026-03-12 09:28:56.5+00
ben_baldivia,6138cf55-af54-4adb-bb72-deb05dda9357,claude-opus-4-6,6,60,17798,17300,0.1214175,-Users-benbaldivia-dev-2-kiloforge-wt-main,2026-03-12 09:14:28.765+00
inkeun,48a45d3d-6f6d-40d6-bb0a-7df112210b77,gpt-5.4,1993,436,0,46336,0.0264198,workspace,2026-03-12 09:08:04.582+00
inkeun,c8e7e8b7-bd78-4393-8309-d78ef1b70f64,gpt-5.4,61118,2789,0,75520,0.247845,workspace,2026-03-12 09:07:18.907+00
ben_baldivia,740f71ce-1b67-4f43-bd10-c803a764e3fa,claude-opus-4-6,5760,57418,564351,33924699,21.95379325,projects,2026-03-12 09:02:38.731+00
ben_baldivia,932507eb-7da3-4611-b0f6-ea738a731b98,claude-opus-4-6,452,58953,747766,36833679,24.566462,projects,2026-03-12 08:56:03.42+00
Da-hye Kim,b431dd2c-db45-45b2-8d87-a1728255ccda,claude-haiku-4-5-20251001,7574,50155,1400354,14475505,3.456342,projects,2026-03-12 08:52:47.312+00
inkeun,1b069bab-8c04-4892-8c1f-494300440545,gpt-5.4,15551,525,0,30080,0.063552,workspace,2026-03-12 08:51:20.173+00
inkeun,020ddbb1-b0c0-4448-a8f9-cde3facb3d34,gpt-5.4,54326,1191,0,81792,0.2053806,workspace,2026-03-12 08:50:49.317+00
inkeun,48749ecd-d190-49d0-b294-ef1f9c1758bf,gpt-5.4,258780,5475,0,999808,1.1584074,workspace,2026-03-12 08:48:59.986+00
Da-hye Kim,20c722b3-72eb-4c16-bab8-6db721756899,claude-opus-4-6,3021,35426,449665,20261098,13.84171025,projects,2026-03-12 08:42:40.707+00
inkeun,934e1931-d5eb-4c47-ad80-464923e45ee5,gpt-5.4,31764,433,0,15104,0.1063182,workspace,2026-03-12 08:38:10.301+00
ben_baldivia,c1ba64bf-318a-4e28-87cb-ac4bd7c4aaeb,claude-opus-4-6,91,7576,90627,2849127,2.18083725,-Users-benbaldivia-dev-2-kiloforge-wt-worker-1,2026-03-12 08:30:40.359+00
ben_baldivia,0f57aae2-85d8-4aca-886b-a0b6d0a6ec19,claude-opus-4-6,923,116374,1372126,81306387,52.142946,projects,2026-03-12 08:27:24.923+00
hletrd,79d3e260-4000-4ae7-ac24-31c4f5e7fd2e,claude-opus-4-6,48,3265,168502,492310,1.3811575,-Users-hletrd-git-xylolabs-web,2026-03-12 08:25:27.18+00
hletrd,d6b9aebb-9069-4c2d-93c9-0016a0697422,claude-opus-4-6,127,7094,308005,1475266,2.84064925,-Users-hletrd-git-online-judge,2026-03-12 08:25:01.363+00
ben_baldivia,03b26c41-a360-4d09-95a3-eff9e0168944,claude-opus-4-6,6,148,0,35298,0.021379,-Users-benbaldivia-dev-2-kiloforge-wt-worker-1-backend-internal-adapter-rest,2026-03-12 08:18:15.044+00
ben_baldivia,e49150bc-a2a0-4efc-bf7b-37242f811b65,claude-opus-4-6,128,16578,129780,4073599,3.2630145,projects,2026-03-12 08:18:13.721+00
ben_baldivia,a26ab844-11da-4963-b5d7-ea5118dbf675,claude-opus-4-6,6,22,0,35298,0.018229,-Users-benbaldivia-dev-2-kiloforge-wt-worker-1-backend-internal-adapter-rest,2026-03-12 08:17:38.691+00
ben_baldivia,826f0e03-d69f-4a54-b034-eb1076ffe9c4,claude-opus-4-6,6,63,17998,17300,0.1227425,-Users-benbaldivia-dev-2-kiloforge-wt-worker-1-backend-internal-adapter-rest,2026-03-12 08:16:52.451+00
inkeun,2fc1e845-c854-4a3a-a702-9a7a7d5a6079,claude-opus-4-6,36,3398,185364,1015179,1.7512445,projects,2026-03-12 08:11:43.291+00
김성민,29e370d2-53e7-4058-b765-ab7bae1a3664,claude-opus-4-6,278,33179,790183,8450139,9.99457825,-home-khemoo-isaac-sim-5-1-0,2026-03-12 08:10:10.683+00
ben_baldivia,0df71459-f919-46eb-892e-3a5d8cdcd48a,claude-opus-4-6,19,1331,45167,238955,0.43514125,-Users-benbaldivia-dev-2-kiloforge-wt-worker-4,2026-03-12 08:09:18.749+00
inkeun,9dfbbf3d-5564-4071-973e-20649def10c2,gpt-5.4,32025,277,0,30464,0.1093692,workspace,2026-03-12 08:07:53.467+00
ben_baldivia,826858df-9da9-41e1-b6ac-02dd4ffaed6c,claude-opus-4-6,6,63,40552,17300,0.263705,-Users-benbaldivia-dev-2-kiloforge-wt-main-backend-internal-adapter-rest,2026-03-12 08:01:08.045+00
ben_baldivia,441293c8-3f5b-476f-8ace-c17b841e12cc,claude-opus-4-6,6,60,40690,17300,0.2644925,-Users-benbaldivia-dev-2-kiloforge-wt-main-backend-internal-adapter-prereq,2026-03-12 08:01:06.864+00
inkeun,fda8f70b-a052-4712-9791-88744a82e74e,claude-opus-4-6,32,3959,191337,1009291,1.79963675,projects,2026-03-12 08:00:09.346+00
inkeun,18375786-13e9-43f1-a8f3-4b2fb8861956,claude-opus-4-6,36,3905,271217,936149,2.26098575,projects,2026-03-12 07:56:05.42+00
jaeyoon,3bb6cd9d-fdf9-491d-a577-8ad79f6feb18,claude-opus-4-6,344,16392,347293,5568853,5.36652775,-Users-jyjung-ocap-mobile-dataset-annotator,2026-03-12 07:54:02.902+00
jaeyoon,3bb6cd9d-fdf9-491d-a577-8ad79f6feb18,claude-opus-4-6,344,16392,347293,5568853,5.36652775,-Users-jyjung-ocap-mobile-dataset-annotator,2026-03-12 07:54:02.902+00
claude,63b02dcb-4420-45f6-818a-545dab98d418,claude-opus-4-6,157,18404,407466,6469219,6.242157,-mnt-harbor-users-claude-GitHub-vla-evaluation-harness,2026-03-12 07:52:45.5+00
ben_baldivia,0de9fc5a-f922-4db7-9716-db857ff4d653,claude-opus-4-6,122,10829,259918,4651183,4.221414,projects,2026-03-12 07:52:04.964+00
inkeun,93670832-1cd6-4596-a336-8380d8926490,gpt-5.4,15197,312,0,15104,0.0548022,workspace,2026-03-12 07:46:36.602+00
inkeun,7a0d2d04-6457-4965-bb65-ad226aa26504,gpt-5.4,138666,5350,0,1115520,0.830904,workspace,2026-03-12 07:46:19.732+00
inkeun,3375e0e2-e345-469e-ad5e-0e912b3b279b,claude-opus-4-6,17,1805,169914,228505,1.221425,projects,2026-03-12 07:45:47.274+00
ben_baldivia,da6d5fd0-21ee-4582-96b2-bca6c2cdc8f8,claude-opus-4-6,152,9821,104537,2092165,1.94572375,projects,2026-03-12 07:45:16.213+00
ben_baldivia,11ee6216-acd2-4fa4-a35e-7f9f6d50f834,claude-opus-4-6,16,810,71970,134270,0.5372775,-Users-benbaldivia-dev-2-asdfasdf,2026-03-12 07:44:02.118+00
inkeun,ea41e571-85ea-4ffd-885f-6df5e0693042,claude-opus-4-6,109,11552,291053,3930331,4.07359175,projects,2026-03-12 07:43:34.475+00
ben_baldivia,1af132bb-6820-48d5-887e-43ac6f6deba5,claude-opus-4-6,353,37426,264331,22322887,13.75092725,projects,2026-03-12 07:37:42.38+00
ben_baldivia,a3fe67eb-6a40-4b32-9787-1484e615a529,claude-opus-4-6,574,80868,748035,47402929,30.40125325,projects,2026-03-12 07:36:52.278+00
ben_baldivia,b54c18cf-23c0-44b9-aa6f-c959f8567b20,claude-opus-4-6,18,1308,35057,375707,0.43974975,-Users-benbaldivia-dev-2-kiloforge-wt-worker-2,2026-03-12 07:30:19.794+00
ben_baldivia,b62712a8-3ab2-4a8b-86e6-ad8185a7d8f4,claude-opus-4-6,276,38750,331375,24143414,15.11293075,projects,2026-03-12 07:28:51.712+00
ben_baldivia,483f6b14-bc6e-4513-b33b-1a16d9de04ec,claude-opus-4-6,34213,21139,561626,8296718,8.3580615,projects,2026-03-12 07:28:17.834+00
ben_baldivia,51763b78-0156-45b7-a551-430a3c7391db,claude-opus-4-6,14,72,52050,69110,0.3617375,projects,2026-03-12 07:13:03.682+00
ben_baldivia,17eae8bf-6771-4aaf-882d-7290be0d23df,claude-opus-4-6,6,20,22158,12742,0.1453885,projects,2026-03-12 07:12:57.13+00
hletrd,6a78974c-e522-42ee-a128-640898643a7c,claude-haiku-4-5-20251001,249,16847,558809,4217029,1.20469815,-Users-hletrd-git-burstpick,2026-03-12 07:11:46.356+00
inkeun,2330f63a-fffc-425f-a835-a0f8f82382ab,gpt-5.4,15526,229,0,15104,0.0545442,workspace,2026-03-12 07:07:26.279+00
hletrd,c6f9d37d-44b7-43f0-bd44-c7b55747e591,claude-opus-4-6,6,63,57560,0,0.361355,-Users-hletrd-git-online-judge,2026-03-12 07:04:17.464+00
hletrd,b938988d-ff71-47a7-8a72-41785433add6,claude-opus-4-6,14790,336423,13769867,142689982,165.89118475,-Users-hletrd-git-online-judge,2026-03-12 07:00:23.556+00
hletrd,89c1ae1e-7dab-467f-83d0-9c247c7891fc,claude-haiku-4-5-20251001,81,2792,327870,929791,0.5168576,-Users-hletrd-git-nas-ops,2026-03-12 07:00:09.706+00
ben_baldivia,abd8cad8-26de-4e82-b313-f3a91b4d7e32,claude-opus-4-6,19,511,191,155416,0.09177175,-Users-benbaldivia-dev-lmf-wt-developer-2,2026-03-12 06:51:43.18+00
hletrd,b938988d-ff71-47a7-8a72-41785433add6,claude-sonnet-4-6,6058,291804,13051539,85826780,79.08653925,-Users-hletrd-git-online-judge,2026-03-12 06:51:20.993+00
hletrd,b938988d-ff71-47a7-8a72-41785433add6,claude-haiku-4-5-20251001,598,44257,1254505,9813088,2.77132305,-Users-hletrd-git-online-judge,2026-03-12 06:50:33.188+00
ben_baldivia,63725447-0fc8-4290-9eae-856e2251f3ea,claude-opus-4-6,12,87,332,87424,0.048022,-Users-benbaldivia-dev-lmf-wt-developer-2,2026-03-12 06:47:51.845+00
ben_baldivia,e8ed8c2c-db04-47b9-9833-6ab08a583044,claude-opus-4-6,14,979,1248,223788,0.144239,-Users-benbaldivia-dev-lmf-wt-developer-2,2026-03-12 06:47:11.456+00
ben_baldivia,923f074a-7e2a-4598-94c0-8cb02057d29f,claude-opus-4-6,25,1522,29403,314036,0.37896175,-Users-benbaldivia-dev-lmf-wt-developer-4,2026-03-12 06:46:46.565+00
ben_baldivia,f13391e5-8d43-43bf-bd93-ceca1753ead1,claude-opus-4-6,12,904,27782,151004,0.2717995,-Users-benbaldivia-dev-lmf-wt-developer-2,2026-03-12 06:46:30.95+00
inkeun,072e5d41-632a-433b-b65d-be9e8f19e2f1,gpt-5.4,30870,518,0,30336,0.1094808,workspace,2026-03-12 06:44:36.766+00
inkeun,6ca77ffe-c7d2-4f65-afe3-1be863add598,gpt-5.4,141635,4169,0,704640,0.698832,workspace,2026-03-12 06:44:11.26+00
inkeun,8a39f89c-6386-4ea0-ad8f-13d54eec9848,claude-opus-4-6,73,8388,365668,2949438,3.970209,projects,2026-03-12 06:27:19.447+00
ben_baldivia,a094babc-9cbc-47e5-9414-a10647070010,claude-opus-4-6,2608,339355,3198743,240572395,148.77525625,projects,2026-03-12 06:21:25.049+00
claude,82c75bab-c87b-4af1-ab7d-aad40cccd089,claude-opus-4-6,244,9526,418433,5877802,5.79347725,projects,2026-03-12 06:14:25.14+00
ben_baldivia,074caa99-52f2-4c40-8e6f-0c6c22d0816b,claude-opus-4-6,215,11494,93218,5161256,3.4516655,projects,2026-03-12 06:11:54.497+00
inkeun,af5fd73f-3f87-44a4-8f12-e6a7bbd72de3,gpt-5.4,16746,391,0,15104,0.0606342,workspace,2026-03-12 06:07:13.243+00
inkeun,bfc5fe84-7af9-41a4-86a2-b4066d6baab2,gpt-5.4,29385,2050,0,91776,0.1464378,workspace,2026-03-12 06:06:57.474+00
hletrd,837f9148-49d4-477d-90e1-25ab1c1e3204,claude-opus-4-6,296,14955,403774,5674110,5.7359975,-Users-hletrd-git-online-judge,2026-03-12 05:55:11.975+00
inkeun,c3fc4e51-fa1e-4a62-8492-d17a48c85b2e,gpt-5.4,15952,370,0,15104,0.0579372,workspace,2026-03-12 05:47:36.371+00
inkeun,b60e6c82-c4df-4bbc-94fd-ef8896573d9b,claude-opus-4-6,57,9013,134590,3000597,2.567096,projects,2026-03-12 05:47:25.591+00
inkeun,a83839ee-188f-4a9f-8368-f31ff7f6d1c9,gpt-5.4,31589,700,0,30720,0.114483,workspace,2026-03-12 05:43:20.324+00
inkeun,59989072-93f2-450a-a09b-4069f27d0789,gpt-5.4,135270,3524,0,241664,0.5311692,workspace,2026-03-12 05:42:40.502+00
hletrd,837f9148-49d4-477d-90e1-25ab1c1e3204,claude-sonnet-4-6,120,5367,142377,1076874,0.93784095,-Users-hletrd-git-online-judge,2026-03-12 05:22:03.47+00
inkeun,317c1d38-a9d2-44e9-afff-850ded8d35d9,claude-opus-4-6,158,32614,349909,13124878,9.56551025,projects,2026-03-12 05:20:29.464+00
hletrd,837f9148-49d4-477d-90e1-25ab1c1e3204,claude-haiku-4-5-20251001,16,517,46179,189281,0.07925285,-Users-hletrd-git-online-judge,2026-03-12 05:17:58.035+00
inkeun,e677cc55-49c3-4db6-9e84-6b6a99461758,claude-opus-4-6,12,473,127444,207713,0.9122665,projects,2026-03-12 05:17:02.669+00
inkeun,a0119e30-003c-4b7c-900a-f4fcc0c7e85e,gpt-5.4,16612,378,0,15232,0.0600756,workspace,2026-03-12 05:06:19.837+00
inkeun,c59f77b3-8b90-4aad-b405-19cf801d25bd,claude-opus-4-6,75,7435,213252,4030760,3.534455,projects,2026-03-12 05:00:04.477+00
ben_baldivia,353c90b1-4d16-49d3-a54d-b91eaf50e7cf,claude-opus-4-6,27,1435,28998,367307,0.400901,-Users-benbaldivia-dev-lmf-wt-developer-4,2026-03-12 04:56:22.771+00
ben_baldivia,813268bd-f760-4892-ac5d-d1029bf600b3,claude-opus-4-6,39270,40454,491909,29647351,19.10580675,projects,2026-03-12 04:56:19.345+00
ben_baldivia,c73cdbab-79a2-4a31-a75e-601abc49522f,claude-opus-4-6,8791,22594,244470,8828210,6.5508475,projects,2026-03-12 04:46:56.311+00
inkeun,e1b761ef-d2eb-448d-9090-7eee5b3dac57,gpt-5.4,31433,640,0,30976,0.1131918,workspace,2026-03-12 04:41:58.582+00
inkeun,a6f21b5a-f99e-436d-bf67-875a3b147524,gpt-5.4,312411,4626,0,967936,1.2970038,workspace,2026-03-12 04:41:29.954+00
ben_baldivia,291087f8-e9d0-4fc2-a5d5-366cad52d649,claude-opus-4-6,182,13514,126181,5433557,3.84416975,projects,2026-03-12 04:41:18.164+00
ben_baldivia,9461841b-9aa7-453a-9755-1f20b985c57a,claude-opus-4-6,28,2007,55832,438526,0.618528,-Users-benbaldivia-dev-lmf-wt-main,2026-03-12 04:28:04.527+00
inkeun,a086e7e8-e28f-4258-9598-04009b9b91bc,gpt-5.4,15455,325,0,14848,0.0556944,workspace,2026-03-12 04:19:26.887+00
ben_baldivia,cdbc9f3f-f261-48ba-9f73-aa6532cdb81b,claude-opus-4-6,17,603,49491,141753,0.39535525,projects,2026-03-12 04:17:44.104+00
hletrd,04668daf-44b9-4d7f-be24-ad7debbcf92d,claude-opus-4-6,30755,468837,35177501,156296942,309.88255225,-Users-hletrd-git-online-judge,2026-03-12 04:15:38.431+00
hletrd,9e58bf2d-73f8-4f7c-9202-07f16a81365c,claude-opus-4-6,29217,481500,47974581,240458810,432.25412125,-Users-hletrd-git-online-judge,2026-03-12 04:15:35.396+00
hletrd,71e2e033-c707-473e-9c93-f6bf8f982b12,claude-opus-4-6,107922,1118840,35034842,245930873,370.443809,-Users-hletrd-git-burstpick,2026-03-12 04:15:12.508+00
hletrd,04668daf-44b9-4d7f-be24-ad7debbcf92d,claude-sonnet-4-6,3536,165759,3993808,25071354,24.9951792,-Users-hletrd-git-online-judge,2026-03-12 04:15:10.672+00
hletrd,71e2e033-c707-473e-9c93-f6bf8f982b12,claude-sonnet-4-6,1338,211145,2428143,14839616,16.72861005,-Users-hletrd-git-burstpick,2026-03-12 04:14:17.332+00
hletrd,9e58bf2d-73f8-4f7c-9202-07f16a81365c,claude-sonnet-4-6,1623,75111,2950627,13529064,16.25510445,-Users-hletrd-git-online-judge,2026-03-12 04:13:49.556+00
hletrd,9e58bf2d-73f8-4f7c-9202-07f16a81365c,claude-haiku-4-5-20251001,424,19393,1085198,4313861,1.8852726,-Users-hletrd-git-online-judge,2026-03-12 04:11:49.391+00
inkeun,fb926ff8-f7ba-4e11-aee8-d1e316c3f5bf,gpt-5.4,15595,298,0,15104,0.0557862,workspace,2026-03-12 04:06:04.443+00
inkeun,633bc79c-ea16-4f9d-9b48-2caa3987f183,claude-opus-4-6,42,13335,183073,1048321,2.00195175,projects,2026-03-12 04:04:17.77+00
inkeun,f9508589-d279-4e89-acdd-adbb8dd23e94,claude-opus-4-6,128,22155,373565,7055916,6.41725425,projects,2026-03-12 03:58:23.426+00
hletrd,71e2e033-c707-473e-9c93-f6bf8f982b12,claude-haiku-4-5-20251001,953,77233,1829760,11673542,3.8416722,-Users-hletrd-git-burstpick,2026-03-12 03:57:47.633+00
inkeun,a7ae29f2-923f-46ff-afb0-5092ef619a21,gpt-5.4,15385,590,0,45824,0.0687522,workspace,2026-03-12 03:40:09.336+00
inkeun,688be088-a7db-498a-8c42-c041ed9ae8c1,gpt-5.4,240995,4568,0,731648,1.0109994,workspace,2026-03-12 03:39:38.799+00
inkeun,dbb375a2-05ad-4689-8ff7-def31ab6dbc8,claude-opus-4-6,16,6012,141645,664432,1.36787725,projects,2026-03-12 03:38:14.237+00
ben_baldivia,0bcdf788-2de0-461c-8a01-2aa9b4a19224,claude-opus-4-6,6,260,18037,53148,0.14583525,projects,2026-03-12 03:31:56.873+00
ben_baldivia,d9f1d7cf-6919-4f28-a90d-f1fcde03c68a,claude-opus-4-6,209,30861,201600,10510106,7.287623,projects,2026-03-12 03:26:49.453+00
ben_baldivia,29692655-e4f7-4945-89fa-2c87b773602a,claude-opus-4-6,55,14203,169133,1206322,2.01559225,projects,2026-03-12 03:21:17.949+00
ben_baldivia,6b4c7520-1dc4-457f-951a-4af1401887f3,claude-opus-4-6,1396,55432,199976,13948385,9.6168225,projects,2026-03-12 03:21:11.579+00
ben_baldivia,3c2f73bb-4de3-4deb-aa1d-bd8f329ca0cd,claude-opus-4-6,109,13134,234193,6364059,4.97463075,-Users-benbaldivia-dev-lmf-wt-developer-1,2026-03-12 03:21:08.476+00
김성민,61a944d0-e7d5-43e4-a40e-87728141e2d3,claude-opus-4-6,335,30553,686061,7021874,8.56431825,-home-khemoo-tmp-workspace,2026-03-12 03:07:41.273+00
inkeun,5e897d9b-5497-4e5b-bd0a-b158ebc37f88,gpt-5.4,28015,2008,0,43776,0.1272978,workspace,2026-03-12 03:06:46.561+00
inkeun,7909f884-5ac3-453f-a1db-801f0003ede0,gpt-5.4,30596,237,0,0,0.095343,workspace,2026-03-12 03:05:50.997+00
inkeun,1d0f319c-d99e-45c9-8dbb-1d359942923c,claude-opus-4-6,92,19447,345842,5311107,5.303701,projects,2026-03-12 02:56:15.514+00
cyjun0304,3e292e46-3bb4-4c47-a9d2-7a55f3ba6758,claude-opus-4-6,3,91,10790,8809,0.074132,-home-cyjun0304-sketchdrive,2026-03-12 02:49:52.76+00
inkeun,b602a66c-6cff-408c-9198-065f21128551,gpt-5.4,93604,2790,0,220416,0.3887868,workspace,2026-03-12 02:48:57.07+00
ben_baldivia,6d432de1-bfe3-465b-aaa7-c093fac5253c,claude-opus-4-6,6,57,39882,17300,0.2593675,-Users-benbaldivia-dev-2-kiloforge-wt-kfc-d780f5-worker-2-backend-internal-adapter-rest,2026-03-12 02:47:43.4+00
ben_baldivia,1fb3f097-4a61-422a-905a-5343ce8abe0f,claude-opus-4-6,6,61,40020,17300,0.26033,-Users-benbaldivia-dev-2-kiloforge-wt-kfc-d780f5-worker-2-backend-internal-adapter-prereq,2026-03-12 02:47:42.541+00
ben_baldivia,426fdb30-23c4-488d-a88e-2ee15c7d1594,claude-opus-4-6,616,28254,176134,9305350,6.4629425,projects,2026-03-12 02:46:30.06+00
ben_baldivia,6e1310f9-9bca-40e8-a20c-ea97fe95f9a9,claude-opus-4-6,164,11412,100901,5268659,3.55108075,projects,2026-03-12 02:45:43.989+00
cyjun0304,d0634c2c-57bb-4fa1-88c4-9aa8ccc9ff52,claude-opus-4-6,109,9384,139288,3838604,3.024997,-home-cyjun0304-sketchdrive,2026-03-12 02:44:10.743+00
ben_baldivia,a114ed6a-7104-4935-9f0a-e42d0212a830,claude-opus-4-6,14,769,2858,183801,0.129058,projects,2026-03-12 02:39:19.561+00
inkeun,b87bd808-2b49-4a83-9629-c779b87c0216,gpt-5.4,45762,528,0,0,0.145206,workspace,2026-03-12 02:38:06.202+00
inkeun,c263f3be-fd46-4fe9-a879-7183e76cf5d2,gpt-5.4,118442,3097,0,369920,0.512757,workspace,2026-03-12 02:37:42.214+00
김성민,32a1379b-1640-4c84-a7ce-b9bba0f8c6dd,claude-opus-4-6,301,43603,795976,6966613,9.5497365,-home-khemoo-workspace,2026-03-12 02:31:33.215+00
ben_baldivia,061fe61c-b0ae-4882-ad86-084df8169c36,claude-opus-4-6,106,8012,90601,2462183,1.99817775,projects,2026-03-12 02:25:58.108+00
ben_baldivia,fa532afd-1987-4718-88d6-dff76a52a642,claude-opus-4-6,6,62,40020,17300,0.260355,projects,2026-03-12 02:23:18.088+00
ben_baldivia,47cfb2e2-ee31-4161-915c-8d3d8968d931,claude-opus-4-6,6,73,39882,17300,0.2597675,projects,2026-03-12 02:23:16.694+00
ben_baldivia,5f4cce0c-4071-433f-87cb-c1ce9ea01f42,claude-opus-4-6,104,8898,95691,3249962,2.44601975,projects,2026-03-12 02:20:30.646+00
cyjun0304,d9546cba-fbda-4790-bf2f-332eca2a95c6,claude-opus-4-6,52,15666,83048,546733,1.1843265,-mnt-home-cyjun0304-sim-workstation,2026-03-12 02:17:47.077+00
cyjun0304,62db4586-425f-420a-99cc-eead4d3dc37a,claude-opus-4-6,10,489,15147,82271,0.14807925,-home-cyjun0304-CostNav,2026-03-12 02:14:16.331+00
ben_baldivia,a2ce0678-aacb-4deb-ad82-1941d3ed79bd,claude-opus-4-6,53,5589,80752,1061561,1.1754705,projects,2026-03-12 02:13:19.418+00
Da-hye Kim,8cc6d6e1-00d5-4736-8ef0-5a678b8beab7,claude-opus-4-6,46993,106788,1026298,60719675,39.678865,projects,2026-03-12 02:10:29.278+00
Da-hye Kim,b431dd2c-db45-45b2-8d87-a1728255ccda,claude-opus-4-6,18480,319691,3313316,179480697,118.5332485,projects,2026-03-12 02:05:46.555+00
ben_baldivia,745f65ee-b229-497f-9ed4-fd468fde7347,claude-opus-4-6,6,75,39902,17300,0.2599425,projects,2026-03-12 02:05:43.147+00
inkeun,a7bf5d9f-eb18-44ed-ba2c-49bb9f277093,gpt-5.4,15531,202,0,15104,0.0541542,workspace,2026-03-12 02:05:36.146+00
Da-hye Kim,c7032204-0982-44ab-98e3-ce6efb92766a,claude-opus-4-6,48,3011,37641,657343,0.63944275,-home-meliora-temp-for-claude-maplayer,2026-03-12 02:05:08.024+00
ben_baldivia,840aa7e9-ca94-40ad-8ac3-bcb6c60b9f21,claude-opus-4-6,95,9763,58270,2878754,2.0481145,projects,2026-03-12 02:02:41.58+00
ben_baldivia,0b169771-0cdb-4666-8cb2-a8b83bbcbe7d,claude-opus-4-6,103,11678,121616,3973663,3.0393965,projects,2026-03-12 02:02:41.273+00
ben_baldivia,156b7f8c-42cf-425b-8c4d-5e2c90a74e5c,claude-opus-4-6,54,4665,46907,1339923,1.08002525,projects,2026-03-12 02:02:35.049+00
ben_baldivia,361dc4bb-6715-483f-966d-1210597f273d,claude-opus-4-6,137,6957,62094,2699339,1.912367,projects,2026-03-12 02:01:58.091+00
inkeun,68710a25-c121-4ed8-b802-e33a02898fe2,claude-opus-4-6,13,1618,129954,265026,0.9852405,projects,2026-03-12 01:52:00.594+00
ben_baldivia,3b3a3a81-3f32-4d50-83a5-58a134f27f42,claude-opus-4-6,131,9574,88672,3247905,2.4181575,projects,2026-03-12 01:42:10.525+00
inkeun,c983d3d3-2af9-4f40-bb04-139d642f0817,claude-opus-4-6,52,9926,231324,1812289,2.6003295,projects,2026-03-12 01:41:53.388+00
inkeun,58b2c6dd-5793-4ed9-ba8f-29c4d03946eb,gpt-5.4,17768,1070,0,102144,0.0999972,workspace,2026-03-12 01:36:59.659+00
inkeun,a986541f-3232-423f-85c8-abbf24324e4c,gpt-5.4,219284,3591,0,442112,0.8443506,workspace,2026-03-12 01:36:17.428+00
김성민,e961a47b-d192-4b14-a208-0f697fb77c7e,claude-opus-4-6,277,37626,1168264,10810314,13.648842,-home-khemoo-pt-CostNav,2026-03-12 01:29:10.464+00
